Temperature,Width,Vdd,Va,Vb,Vint
25.0,3.2e-08,0.9,0.0,0.0,0.631317257
25.0,3.2e-08,0.9,0.0,0.9,0.899733372
25.0,3.2e-08,0.9,0.9,0.0,0.13663686
25.0,3.2e-08,0.9,0.9,0.9,0.829028144
25.0,6.4e-08,0.9,0.0,0.0,0.631317257
25.0,6.4e-08,0.9,0.0,0.9,0.899733372
25.0,6.4e-08,0.9,0.9,0.0,0.13663686
25.0,6.4e-08,0.9,0.9,0.9,0.829028144
25.0,9.6e-08,0.9,0.0,0.0,0.631317258
25.0,9.6e-08,0.9,0.0,0.9,0.899733372
25.0,9.6e-08,0.9,0.9,0.0,0.13663686
25.0,9.6e-08,0.9,0.9,0.9,0.829028143
25.0,1.28e-07,0.9,0.0,0.0,0.631317258
25.0,1.28e-07,0.9,0.0,0.9,0.899733372
25.0,1.28e-07,0.9,0.9,0.0,0.136636861
25.0,1.28e-07,0.9,0.9,0.9,0.829028143
25.0,1.92e-07,0.9,0.0,0.0,0.631317259
25.0,1.92e-07,0.9,0.0,0.9,0.899733372
25.0,1.92e-07,0.9,0.9,0.0,0.136636862
25.0,1.92e-07,0.9,0.9,0.9,0.829028141
25.0,2.56e-07,0.9,0.0,0.0,0.631317261
25.0,2.56e-07,0.9,0.0,0.9,0.899733372
25.0,2.56e-07,0.9,0.9,0.0,0.136636863
25.0,2.56e-07,0.9,0.9,0.9,0.829028138
